Algorytm;Rozmiar;Typ_Danych;Sredni_Czas[us]
QuickSort;100;Losowe;4.31
MergeSort;100;Losowe;10.99
IntroSort;100;Losowe;3.2
QuickSort;100;25.000000%;4.07
MergeSort;100;25.000000%;10.22
IntroSort;100;25.000000%;2.94
QuickSort;100;50.000000%;3.74
MergeSort;100;50.000000%;9.21
IntroSort;100;50.000000%;2.67
QuickSort;100;75.000000%;3.03
MergeSort;100;75.000000%;8.99
IntroSort;100;75.000000%;2
QuickSort;100;95.000000%;1.38
MergeSort;100;95.000000%;8.38
IntroSort;100;95.000000%;1.02
QuickSort;100;99.000000%;0.96
MergeSort;100;99.000000%;8
IntroSort;100;99.000000%;0.04
QuickSort;100;99.700000%;0.94
MergeSort;100;99.700000%;8
IntroSort;100;99.700000%;0
QuickSort;100;Odwrotnie_Posortowane;1
MergeSort;100;Odwrotnie_Posortowane;8.04
IntroSort;100;Odwrotnie_Posortowane;0
QuickSort;500;Losowe;27.65
MergeSort;500;Losowe;64.33
IntroSort;500;Losowe;21.72
QuickSort;500;25.000000%;27.16
MergeSort;500;25.000000%;61.6
IntroSort;500;25.000000%;20.86
QuickSort;500;50.000000%;25.94
MergeSort;500;50.000000%;54.49
IntroSort;500;50.000000%;22.21
QuickSort;500;75.000000%;20.28
MergeSort;500;75.000000%;49.87
IntroSort;500;75.000000%;14.71
QuickSort;500;95.000000%;14.45
MergeSort;500;95.000000%;47.74
IntroSort;500;95.000000%;11.31
QuickSort;500;99.000000%;8.79
MergeSort;500;99.000000%;44.79
IntroSort;500;99.000000%;6.15
QuickSort;500;99.700000%;6.37
MergeSort;500;99.700000%;44.68
IntroSort;500;99.700000%;3.98
QuickSort;500;Odwrotnie_Posortowane;5.02
MergeSort;500;Odwrotnie_Posortowane;45.09
IntroSort;500;Odwrotnie_Posortowane;3.68
QuickSort;1000;Losowe;62.32
MergeSort;1000;Losowe;136.35
IntroSort;1000;Losowe;49.09
QuickSort;1000;25.000000%;58
MergeSort;1000;25.000000%;122.34
IntroSort;1000;25.000000%;45.42
QuickSort;1000;50.000000%;57.15
MergeSort;1000;50.000000%;113.47
IntroSort;1000;50.000000%;49.81
QuickSort;1000;75.000000%;44.86
MergeSort;1000;75.000000%;102.61
IntroSort;1000;75.000000%;33.42
QuickSort;1000;95.000000%;30.45
MergeSort;1000;95.000000%;95.96
IntroSort;1000;95.000000%;23.61
QuickSort;1000;99.000000%;22.12
MergeSort;1000;99.000000%;93.79
IntroSort;1000;99.000000%;18.2
QuickSort;1000;99.700000%;15.34
MergeSort;1000;99.700000%;93.29
IntroSort;1000;99.700000%;10.45
QuickSort;1000;Odwrotnie_Posortowane;12.06
MergeSort;1000;Odwrotnie_Posortowane;93.57
IntroSort;1000;Odwrotnie_Posortowane;8.32
QuickSort;5000;Losowe;360.29
MergeSort;5000;Losowe;719.14
IntroSort;5000;Losowe;286.95
QuickSort;5000;25.000000%;348.73
MergeSort;5000;25.000000%;672.52
IntroSort;5000;25.000000%;281.52
QuickSort;5000;50.000000%;353.92
MergeSort;5000;50.000000%;614.11
IntroSort;5000;50.000000%;347.46
QuickSort;5000;75.000000%;264.01
MergeSort;5000;75.000000%;557.69
IntroSort;5000;75.000000%;207.29
QuickSort;5000;95.000000%;177.41
MergeSort;5000;95.000000%;509.17
IntroSort;5000;95.000000%;137.08
QuickSort;5000;99.000000%;143.32
MergeSort;5000;99.000000%;508.85
IntroSort;5000;99.000000%;116.85
QuickSort;5000;99.700000%;123.05
MergeSort;5000;99.700000%;498.89
IntroSort;5000;99.700000%;103.61
QuickSort;5000;Odwrotnie_Posortowane;72.36
MergeSort;5000;Odwrotnie_Posortowane;496
IntroSort;5000;Odwrotnie_Posortowane;53.43
QuickSort;10000;Losowe;765.3
MergeSort;10000;Losowe;1476.72
IntroSort;10000;Losowe;627.77
QuickSort;10000;25.000000%;733.73
MergeSort;10000;25.000000%;1369.09
IntroSort;10000;25.000000%;603.2
QuickSort;10000;50.000000%;783.84
MergeSort;10000;50.000000%;1295.71
IntroSort;10000;50.000000%;779.5
QuickSort;10000;75.000000%;567.86
MergeSort;10000;75.000000%;1164.68
IntroSort;10000;75.000000%;454.41
QuickSort;10000;95.000000%;378
MergeSort;10000;95.000000%;1057.76
IntroSort;10000;95.000000%;295.27
QuickSort;10000;99.000000%;293.6
MergeSort;10000;99.000000%;1017.63
IntroSort;10000;99.000000%;237.73
QuickSort;10000;99.700000%;270.63
MergeSort;10000;99.700000%;1033.51
IntroSort;10000;99.700000%;227.49
QuickSort;10000;Odwrotnie_Posortowane;154.19
MergeSort;10000;Odwrotnie_Posortowane;1017.39
IntroSort;10000;Odwrotnie_Posortowane;115.29
QuickSort;50000;Losowe;4384.51
MergeSort;50000;Losowe;8400.13
IntroSort;50000;Losowe;3675.14
QuickSort;50000;25.000000%;4147.94
MergeSort;50000;25.000000%;7439.37
IntroSort;50000;25.000000%;3467.33
QuickSort;50000;50.000000%;4793.36
MergeSort;50000;50.000000%;6774.05
IntroSort;50000;50.000000%;4359.6
QuickSort;50000;75.000000%;3111.22
MergeSort;50000;75.000000%;6044.86
IntroSort;50000;75.000000%;2590.07
QuickSort;50000;95.000000%;2068.34
MergeSort;50000;95.000000%;5398.94
IntroSort;50000;95.000000%;1746.9
QuickSort;50000;99.000000%;1524.68
MergeSort;50000;99.000000%;5325.35
IntroSort;50000;99.000000%;1256.08
QuickSort;50000;99.700000%;1410.07
MergeSort;50000;99.700000%;5379.91
IntroSort;50000;99.700000%;1184.65
QuickSort;50000;Odwrotnie_Posortowane;847.94
MergeSort;50000;Odwrotnie_Posortowane;5322.17
IntroSort;50000;Odwrotnie_Posortowane;627.53
QuickSort;100000;Losowe;8857.26
MergeSort;100000;Losowe;16475.6
IntroSort;100000;Losowe;7514.99
QuickSort;100000;25.000000%;8614.27
MergeSort;100000;25.000000%;15314.1
IntroSort;100000;25.000000%;7304.37
QuickSort;100000;50.000000%;11300.9
MergeSort;100000;50.000000%;14299.6
IntroSort;100000;50.000000%;9867.43
QuickSort;100000;75.000000%;6788.98
MergeSort;100000;75.000000%;13072.2
IntroSort;100000;75.000000%;5612.61
QuickSort;100000;95.000000%;4665.12
MergeSort;100000;95.000000%;11793
IntroSort;100000;95.000000%;4033.68
QuickSort;100000;99.000000%;3205.66
MergeSort;100000;99.000000%;10995.2
IntroSort;100000;99.000000%;2670.54
QuickSort;100000;99.700000%;2883.26
MergeSort;100000;99.700000%;10980.2
IntroSort;100000;99.700000%;2378.88
QuickSort;100000;Odwrotnie_Posortowane;1799.39
MergeSort;100000;Odwrotnie_Posortowane;11052
IntroSort;100000;Odwrotnie_Posortowane;1317.89
QuickSort;500000;Losowe;48971.7
MergeSort;500000;Losowe;88203.7
IntroSort;500000;Losowe;41904.6
QuickSort;500000;25.000000%;48075.8
MergeSort;500000;25.000000%;83225
IntroSort;500000;25.000000%;41603.5
QuickSort;500000;50.000000%;77296.9
MergeSort;500000;50.000000%;74968.5
IntroSort;500000;50.000000%;59848
QuickSort;500000;75.000000%;36069.3
MergeSort;500000;75.000000%;64843
IntroSort;500000;75.000000%;30502.8
QuickSort;500000;95.000000%;25384.7
MergeSort;500000;95.000000%;58221.9
IntroSort;500000;95.000000%;22748.5
QuickSort;500000;99.000000%;19218.7
MergeSort;500000;99.000000%;57472.2
IntroSort;500000;99.000000%;15702.3
QuickSort;500000;99.700000%;16700.7
MergeSort;500000;99.700000%;57138.2
IntroSort;500000;99.700000%;12813.6
QuickSort;500000;Odwrotnie_Posortowane;10624.2
MergeSort;500000;Odwrotnie_Posortowane;58077.9
IntroSort;500000;Odwrotnie_Posortowane;7199.92
QuickSort;1000000;Losowe;101481
MergeSort;1000000;Losowe;182436
IntroSort;1000000;Losowe;87824.9
QuickSort;1000000;25.000000%;98380.1
MergeSort;1000000;25.000000%;168769
IntroSort;1000000;25.000000%;85402.8
QuickSort;1000000;50.000000%;161295
MergeSort;1000000;50.000000%;151145
IntroSort;1000000;50.000000%;115265
QuickSort;1000000;75.000000%;75151.1
MergeSort;1000000;75.000000%;133709
IntroSort;1000000;75.000000%;64020.3
QuickSort;1000000;95.000000%;53233.5
MergeSort;1000000;95.000000%;119265
IntroSort;1000000;95.000000%;47444.8
QuickSort;1000000;99.000000%;41713.6
MergeSort;1000000;99.000000%;117012
IntroSort;1000000;99.000000%;34279.9
QuickSort;1000000;99.700000%;36343.2
MergeSort;1000000;99.700000%;116636
IntroSort;1000000;99.700000%;26977.4
QuickSort;1000000;Odwrotnie_Posortowane;24072
MergeSort;1000000;Odwrotnie_Posortowane;121035
IntroSort;1000000;Odwrotnie_Posortowane;15333.8
